10/31/2024 2:54:00,GDCytosine+9164,Myles+2125,devinblox+9150,SoulDataFMAB+1794,Woodland Alliance,Corvid Conspiracy,Underground Duchy,Vagabond (Scoundrel),Riverfolk Company,28,22,30,Coalition w/Woodland Alliance,0.00,0.00,1.00,0.00,Autumn,E&P,Random,Live,https://discord.com/channels/476234833572397056/1301354875690418177
10/31/2024 3:50:00,FakeSki+4232,bwebby+1847,Deejaythink+9834,HobGungan+2914,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Riverfolk Company,Marquise de Cat,22,27,32,18,0.00,0.00,1.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1299131018153955472
10/31/2024 4:49:00,Jarhed12+6549,deathprod+3566,Matt516+2460,1coolguy+6294,Lizard Cult,Vagabond (Thief),Underground Duchy,Eyrie Dynasties,Woodland Alliance,23,29,30,21,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1296273051587186718
10/31/2024 9:45:00,yauhen+8851,TheWiseFox+8428,MaxMin+2105,AlexP+2435,Woodland Alliance,Marquise de Cat,Eyrie Dynasties,Underground Duchy,Riverfolk Company,23,17,22,30,0.00,0.00,0.00,1.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1294926955283615788
10/31/2024 9:49:00,greenplastic90+3616,Matoto+8242,Ouki01+4037,AlexP+2435,Corvid Conspiracy,Lizard Cult,Eyrie Dynasties,Vagabond (Thief),Underground Duchy,22,16,10,30,0.00,0.00,0.00,1.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298280316422590475
10/31/2024 16:03:00,Holysheva+0413,Tyr11+4081,Furry0329+6442,TheWiseFox+8428,Vagabond (Vagrant),Lizard Cult,Woodland Alliance,Underground Duchy,Vagabond (Scoundrel),28,24,30,19,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1299495330819342376
10/31/2024 19:15:00,KFull+1226,Pyrocrab+5064,TercMa+9283,Fearteiler+8050,Marquise de Cat,Lizard Cult,Woodland Alliance,Underground Duchy,Vagabond (Harrier),22,17,25,30,0.00,0.00,0.00,1.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1298434122665955340
10/31/2024 20:20:00,robinsrus9+9439,TheWiseFox+8428,bwebby+1847,Peppy+6321,Eyrie Dynasties,Vagabond (Arbiter),Underground Duchy,Lizard Cult,Riverfolk Company,29,Coalition w/Underground Duchy,30,25,0.00,0.50,0.50,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1297905396316508181
10/31/2024 20:39:00,Killerstorm17+3440,jambi997+2298,HuntingGirl37+3550,Job123+0665,Lizard Cult,Corvid Conspiracy,Underground Duchy,Eyrie Dynasties,Marquise de Cat,31,15,4,5,1.00,0.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301627633343139891
11/1/2024 2:32:00,SoulDataFMAB+1794,Matt516+2460,Namzies+1928,Aeliott+7118,Vagabond (Scoundrel),Lizard Cult,Eyrie Dynasties,Underground Duchy,Corvid Conspiracy,22,30,17,15,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1300561991680917645
11/1/2024 10:54:00,HobGungan+2914,ExodiaDoggo+4205,skellen+1863,Kumori+0599,Underground Duchy,Lizard Cult,Woodland Alliance,Vagabond (Ronin),Riverfolk Company,10,30,15,23,0.00,1.00,0.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1298625042023841816
11/1/2024 12:34:00,Holysheva+0413,BrorWolf25+7581,NadtyLite+7330,Hoffenpepper+6941,Riverfolk Company,Woodland Alliance,Eyrie Dynasties,Underground Duchy,Marquise de Cat,25,24,30,20,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300514660658839552
11/1/2024 16:21:00,Youdge+8117,ExodiaDoggo+4205,1coolguy+6294,Namzies+1928,Riverfolk Company,Underground Duchy,Eyrie Dynasties,Vagabond (Tinker),Vagabond (Ronin),18,18,24,31,0.00,0.00,0.00,1.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1296165369060261970
11/1/2024 17:22:00,TheWiseFox+8428,NadtyLite+7330,Matt516+2460,Tyr11+4081,Woodland Alliance,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Marquise de Cat,30,29,25,24,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1301937747618959390
11/1/2024 17:37:00,lumpyprol+3206,Namzies+1928,ActiveAxon+8546,pookypossum+9865,Woodland Alliance,Vagabond (Ronin),Marquise de Cat,Eyrie Dynasties,Underground Duchy,32,Coalition w/Marquise de Cat,26,18,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1300567804617166940
11/1/2024 22:14:00,Proffian+5891,KFull+1226,Matt516+2460,SoulDataFMAB+1794,Corvid Conspiracy,Eyrie Dynasties,Marquise de Cat,Vagabond (Thief),Lizard Cult,21,28,33,23,0.00,0.00,1.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298024380848275470
11/2/2024 4:23:00,phannyak+8285,Namzies+1928,TheWiseFox+8428,Holysheva+0413,Corvid Conspiracy,Marquise de Cat,Woodland Alliance,Underground Duchy,Vagabond (Thief),15,23,11,31,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300477618084249665
11/2/2024 5:06:00,lumpyprol+3206,Ctfox+5431,Furry0329+6442,TercMa+9283,Riverfolk Company,Vagabond (Adventurer),Underground Duchy,Eyrie Dynasties,Marquise de Cat,18,24,31,Mouse Dom,0.00,0.00,1.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301376100416487445
11/2/2024 11:23:00,snapfish295+8182,Unkannie+6295,Aeliott+7118,TercMa+9283,Vagabond (Scoundrel),Vagabond (Tinker),Corvid Conspiracy,Marquise de Cat,Lizard Cult,18,24,22,30,0.00,0.00,0.00,1.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1302227666082201640
11/2/2024 14:44:00,HobGungan+2914,ActiveAxon+8546,RustySpruce+2483,NadtyLite+7330,Lizard Cult,Riverfolk Company,Vagabond (Harrier),Underground Duchy,Marquise de Cat,17,28,31,27,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1296842443706208309/1300468034816835706
11/2/2024 16:22:00,TheWiseFox+8428,bwebby+1847,Namzies+1928,cringelordirl+3838,Eyrie Dynasties,Vagabond (Adventurer),Woodland Alliance,Corvid Conspiracy,Lizard Cult,25,20,11,30,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300580888492642408/1302305932671320195
11/2/2024 17:43:00,Emperia+9282,Holysheva+0413,Proffian+5891,KFull+1226,Vagabond (Adventurer),Woodland Alliance,Vagabond (Arbiter),Eyrie Dynasties,Corvid Conspiracy,23,30,17,9,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1298036023389061160
11/2/2024 17:58:00,GDCytosine+9164,Myfirstdime+8673,Amazing moondog+4878,Umiya+8617,Lizard Cult,Woodland Alliance,Underground Duchy,Marquise de Cat,Eyrie Dynasties,17,7,20,30,0.00,0.00,0.00,1.00,Mountain,E&P,,Live,https://discord.com/channels/476234833572397056/1302316302165344347
11/2/2024 19:02:00,Umiya+8617,robinsrus9+9439,KFull+1226,OrcaJoe+2556,Woodland Alliance,Marquise de Cat,Underground Duchy,Riverfolk Company,Vagabond (Ranger),30,24,26,27,1.00,0.00,0.00,0.00,Mountain,E&P,,Live,https://discord.com/channels/476234833572397056/1294888638026485771
11/2/2024 20:40:00,devinblox+9150,Hoffenpepper+6941,Umiya+8617,Job123+0665,Marquise de Cat,Corvid Conspiracy,Underground Duchy,Riverfolk Company,Vagabond (Thief),28,13,30,20,0.00,0.00,1.00,0.00,Lake,E&P,,Live,https://discord.com/channels/476234833572397056/1302351405251694703
11/2/2024 22:28:00,Amazing moondog+4878,Vsquirrel+9158,Umiya+8617,Job123+0665,Lizard Cult,Woodland Alliance,Marquise de Cat,Riverfolk Company,Vagabond (Adventurer),21,20,30,17,0.00,0.00,1.00,0.00,Lake,E&P,,Live,https://discord.com/channels/476234833572397056/1302375320783032381
11/2/2024 23:24:00,cringelordirl+3838,NadtyLite+7330,dindane+0250,ZachB+8726,Lizard Cult,Eyrie Dynasties,Woodland Alliance,Riverfolk Company,Vagabond (Scoundrel),27,33,15,21,0.00,1.00,0.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1301362907472199791
11/3/2024 2:42:00,1coolguy+6294,lumpyprol+3206,SluyGuy+5208,TheWiseFox+8428,Woodland Alliance,Eyrie Dynasties,Lizard Cult,Underground Duchy,Marquise de Cat,18,30,16,10,0.00,1.00,0.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1299157820041592854
11/3/2024 5:29:00,NadtyLite+7330,Furry0329+6442,MrRiceGuy+5849,Emperia+9282,Marquise de Cat,Underground Duchy,Vagabond (Adventurer),Eyrie Dynasties,Vagabond (Harrier),18,32,Coalition w/Eyrie Dynasties,17,0.00,1.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300121147744190557
11/3/2024 5:37:00,Namzies+1928,cringelordirl+3838,ActiveAxon+8546,SoulDataFMAB+1794,Vagabond (Ronin),Marquise de Cat,Vagabond (Thief),Underground Duchy,Riverfolk Company,30,29,24,26,1.00,0.00,0.00,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1300568890740576346
11/3/2024 9:03:00,kesitron+0187,Namzies+1928,NadtyLite+7330,BloodMuffin+4386,Woodland Alliance,Corvid Conspiracy,Eyrie Dynasties,Underground Duchy,Marquise de Cat,30,20,22,21,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://media.discordapp.net/attachments/1300509245053210716/1302557054946377728/root_wa_3.PNG?ex=67288c4a&is=67273aca&hm=fb06e99a3d3b5a456b5cbf6391a100a8232e756a812d0d91d1101f317bbdb333&=&format=webp&quality=lossless&width=1066&height=600
11/3/2024 12:47:00,TheWiseFox+8428,Bapgo+7254,Hoffenpepper+6941,Sophisticatedpingo+2936,Woodland Alliance,Underground Duchy,Vagabond (Adventurer),Vagabond (Ronin),Riverfolk Company,21,30,18,8,0.00,1.00,0.00,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1298926482667737170
11/3/2024 13:14:00,Matt516+2460,deathprod+3566,Excitedteapot+2857,Wubba+9310,Marquise de Cat,Lizard Cult,Vagabond (Tinker),Underground Duchy,Vagabond (Ronin),28,20,23,30,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1295894568184840246
11/3/2024 15:23:00,Namzies+1928,Benendetto+5646,lumpyprol+3206,TheWiseFox+8428,Corvid Conspiracy,Lizard Cult,Eyrie Dynasties,Underground Duchy,Marquise de Cat,30,11,17,2,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1301236088844849213
11/3/2024 15:42:00,Jacob+9078,TyCobb+4799,Breadstick+9988,radiantchaos+5523,Lizard Cult,Riverfolk Company,Vagabond (Ranger),Underground Duchy,Woodland Alliance,13,20,17,32,0.00,0.00,0.00,1.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1293776968998719551
11/3/2024 15:57:00,FakeSki+4232,TheWiseFox+8428,Ouki01+4037,Kumori+0599,Woodland Alliance,Corvid Conspiracy,Eyrie Dynasties,Vagabond (Thief),Underground Duchy,25,33,23,12,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1300790437203677215
11/3/2024 16:45:00,Kdos15+1623,ominouscat+4065,Plush2+8334,HuntingGirl37+3550,Lizard Cult,Marquise de Cat,Riverfolk Company,Vagabond (Ronin),Eyrie Dynasties,23,30,24,29,0.00,1.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1302649525835534387
11/3/2024 17:04:00,TercMa+9283,bwebby+1847,TheWiseFox+8428,BrorWolf25+7581,Marquise de Cat,Riverfolk Company,Woodland Alliance,Eyrie Dynasties,Lizard Cult,29,30,16,9,0.00,1.00,0.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1300586910569336904
11/3/2024 18:30:00,Breadstick+9988,kurinzu+3999,TheWiseFox+8428,TyCobb+4799,Vagabond (Arbiter),Lizard Cult,Riverfolk Company,Eyrie Dynasties,Woodland Alliance,20,30,16,16,0.00,1.00,0.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1297228936391954432
11/3/2024 21:11:00,Lisapoo+5394,pookypossum+9865,Matt516+2460,HobGungan+2914,Marquise de Cat,Eyrie Dynasties,Vagabond (Arbiter),Lizard Cult,Vagabond (Vagrant),Fox Dom,6,31,15,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1299736832040374363
11/3/2024 21:49:00,KFull+1226,jayli+9450,kurinzu+3999,yauhen+8851,Underground Duchy,Riverfolk Company,Lizard Cult,Marquise de Cat,Corvid Conspiracy,32,21,27,9,1.00,0.00,0.00,0.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1295478186972414086
11/3/2024 22:23:00,Bobby+2752,Cinderfella+4968,TercMa+9283,Holysheva+0413,Marquise de Cat,Vagabond (Ranger),Underground Duchy,Lizard Cult,Vagabond (Scoundrel),25,30,19,21,0.00,1.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1296838753557676126/1302758847273897997
11/4/2024 2:46:00,SoulDataFMAB+1794,Deejaythink+9834,Jombo+6527,cringelordirl+3838,Vagabond (Ranger),Eyrie Dynasties,Underground Duchy,Riverfolk Company,Marquise de Cat,31,27,23,27,1.00,0.00,0.00,0.00,Mountain,E&P,,Async,https://cdn.discordapp.com/attachments/1297673082202230824/1302817747066949733/Screenshot_20241103_201157_Root.jpg?ex=67297f14&is=67282d94&hm=5a090c4e9399e37a41619e1aa23058ac005bc38d09cabc5c13b584c4846c2544&
11/4/2024 5:41:00,Aceosd+1686,Pyrocrab+5064,KumoSumo+5421,Yragael+5413,Vagabond (Arbiter),Eyrie Dynasties,Marquise de Cat,Riverfolk Company,Vagabond (Ronin),20,16,24,30,0.00,0.00,0.00,1.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1296295804918693908
11/4/2024 10:39:00,Matt516+2460,TheWiseFox+8428,Ctfox+5431,Namzies+1928,Lizard Cult,Vagabond (Ronin),Riverfolk Company,Underground Duchy,Eyrie Dynasties,23,19,31,19,0.00,0.00,1.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1301534014477434925
11/4/2024 12:38:00,TheWiseFox+8428,Holysheva+0413,Nadav253+6419,Tyr11+4081,Vagabond (Thief),Vagabond (Tinker),Riverfolk Company,Marquise de Cat,,28,30,14,19,0.00,1.00,0.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1299386994773721180
11/4/2024 15:12:00,SluyGuy+5208,skellen+1863,TercMa+9283,Bapgo+7254,Lizard Cult,Woodland Alliance,Eyrie Dynasties,Vagabond (Tinker),Corvid Conspiracy,19,23,31,17,0.00,0.00,1.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1303013287360860232
11/4/2024 19:59:00,Ctfox+5431,bwebby+1847,KFull+1226,BloodMuffin+4386,Vagabond (Ronin),Corvid Conspiracy,Riverfolk Company,Eyrie Dynasties,Marquise de Cat,10,17,20,30,0.00,0.00,0.00,1.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301643996317225073/1303085381952077975
11/4/2024 20:24:00,skellen+1863,Matoto+8242,TheWiseFox+8428,BoMa85+9812,Woodland Alliance,Vagabond (Vagrant),Corvid Conspiracy,Marquise de Cat,Lizard Cult,27,22,30,26,0.00,0.00,1.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1298567138197377055
11/4/2024 21:09:00,Born2Rule+0717,kurinzu+3999,Fearteiler+8050,Bobby+2752,Marquise de Cat,Riverfolk Company,Vagabond (Ronin),Underground Duchy,,20,17,31,26,0.00,0.00,1.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1293639335379206216
11/5/2024 3:59:00,ashfall+0120,BloodMuffin+4386,pooge+6189,Furry0329+6442,Marquise de Cat,Vagabond (Harrier),Corvid Conspiracy,Eyrie Dynasties,Woodland Alliance,15,21,23,31,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1300620689157652510
11/5/2024 13:58:00,NadtyLite+7330,greenplastic90+3616,lumpyprol+3206,skellen+1863,Lizard Cult,Vagabond (Arbiter),Woodland Alliance,Eyrie Dynasties,Corvid Conspiracy,26,26,26,30,0.00,0.00,0.00,1.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1301182902893285376
11/5/2024 14:06:00,storybored+5864,Deejaythink+9834,ZachB+8726,TercMa+9283,Riverfolk Company,Eyrie Dynasties,Woodland Alliance,Underground Duchy,Marquise de Cat,17,29,32,18,0.00,0.00,1.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1302051219082182798/1303356294593249362
11/5/2024 16:08:00,BoMa85+9812,TheWiseFox+8428,skellen+1863,Namzies+1928,Underground Duchy,Riverfolk Company,Woodland Alliance,Eyrie Dynasties,Vagabond (Adventurer),14,13,25,30,0.00,0.00,0.00,1.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1299801329287430217
11/5/2024 18:00:00,cringelordirl+3838,Excitedteapot+2857,Umiya+8617,Wubba+9310,Marquise de Cat,Vagabond (Thief),Underground Duchy,Eyrie Dynasties,Vagabond (Ranger),27,22,31,22,0.00,0.00,1.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1295885946897567796/1295885946897567796
11/5/2024 20:07:00,Excitedteapot+2857,Namzies+1928,1coolguy+6294,TheWiseFox+8428,Underground Duchy,Lizard Cult,Eyrie Dynasties,Vagabond (Tinker),Vagabond (Arbiter),29,24,21,31,0.00,0.00,0.00,1.00,Autumn,E&P,,Async,https://discord.com/channels/476234833572397056/1295049586322440284
11/5/2024 22:03:00,SoulDataFMAB+1794,TheWiseFox+8428,1coolguy+6294,TercMa+9283,Marquise de Cat,Lizard Cult,Woodland Alliance,Eyrie Dynasties,Vagabond (Ronin),20,8,19,32,0.00,0.00,0.00,1.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1303479005504344215
11/5/2024 23:51:00,BloodMuffin+4386,Hoffenpepper+6941,Fearteiler+8050,TheWiseFox+8428,Riverfolk Company,Marquise de Cat,Lizard Cult,Woodland Alliance,Vagabond (Vagrant),30,18,16,10,1.00,0.00,0.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301660908484956172/1303505948647751820
11/6/2024 18:51:00,BloodMuffin+4386,HobGungan+2914,Myfirstdime+8673,KFull+1226,Underground Duchy,Corvid Conspiracy,Vagabond (Harrier),Eyrie Dynasties,Woodland Alliance,29,27,15,32,0.00,0.00,0.00,1.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1299090431941939260
11/6/2024 20:19:00,Tyr11+4081,Youdge+8117,TheWiseFox+8428,CluelessRune+5235,Lizard Cult,Corvid Conspiracy,Underground Duchy,Woodland Alliance,Vagabond (Scoundrel),13,35,5,5,0.00,1.00,0.00,0.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1303341227227484242
11/6/2024 21:05:00,MrPastrana+7951,bwebby+1847,1coolguy+6294,TheWiseFox+8428,Eyrie Dynasties,Riverfolk Company,Vagabond (Arbiter),Underground Duchy,Corvid Conspiracy,21,30,19,21,0.00,1.00,0.00,0.00,Mountain,E&P,,Async,https://discord.com/channels/476234833572397056/1299846803403046913
11/7/2024 3:33:00,cringelordirl+3838,Furry0329+6442,NadtyLite+7330,Asturk+8676,Corvid Conspiracy,Woodland Alliance,Underground Duchy,Vagabond (Tinker),Marquise de Cat,30,18,7,18,1.00,0.00,0.00,0.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1302798623242719273/1303922075940945981
11/7/2024 3:48:00,Holysheva+0413,Proffian+5891,cringelordirl+3838,Emperia+9282,Vagabond (Vagrant),Woodland Alliance,Eyrie Dynasties,Underground Duchy,Corvid Conspiracy,19,26,31,20,0.00,0.00,1.00,0.00,Lake,E&P,Random,Async,https://discord.com/channels/476234833572397056/1299411978623914074/1303928276552646777
11/7/2024 4:26:00,FakeSki+4232,Matt516+2460,KFull+1226,TercMa+9283,Corvid Conspiracy,Underground Duchy,Marquise de Cat,Woodland Alliance,Lizard Cult,27,30,13,12,0.00,1.00,0.00,0.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301743550731386922
11/7/2024 10:51:00,Shartreusenightmare+4730,Hoffenpepper+6941,Gaelyn+3691,pookypossum+9865,Eyrie Dynasties,Corvid Conspiracy,Woodland Alliance,Vagabond (Harrier),Vagabond (Adventurer),22,30,15,14,0.00,1.00,0.00,0.00,Lake,Base,Random,Async,https://discord.com/channels/476234833572397056/1300858778786201633
11/7/2024 13:57:00,HobGungan+2914,NadtyLite+7330,TercMa+9283,Fearteiler+8050,Riverfolk Company,Vagabond (Tinker),Eyrie Dynasties,Underground Duchy,Corvid Conspiracy,4,24,30,23,0.00,0.00,1.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1304081532511846422
11/7/2024 14:38:00,ZachB+8726,bwebby+1847,NadtyLite+7330,TheWiseFox+8428,Vagabond (Adventurer),Eyrie Dynasties,Underground Duchy,Vagabond (Tinker),Woodland Alliance,32,20,27,Coalition w/Underground Duchy,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1302669708150968451/1304081342820122634
11/7/2024 18:47:00,Holysheva+0413,Matt516+2460,Tyr11+4081,HobGungan+2914,Eyrie Dynasties,Underground Duchy,Vagabond (Ronin),Woodland Alliance,Marquise de Cat,30,19,13,7,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1303002179019341865
11/7/2024 20:45:00,TheWiseFox+8428,pooge+6189,Tyr11+4081,Pliskin+7357,Underground Duchy,Vagabond (Thief),Lizard Cult,Eyrie Dynasties,Marquise de Cat,14,28,25,30,0.00,0.00,0.00,1.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301476232017481751
11/7/2024 20:48:00,NadtyLite+7330,Tyr11+4081,TheWiseFox+8428,Pliskin+7357,Riverfolk Company,Eyrie Dynasties,Corvid Conspiracy,Vagabond (Ronin),Marquise de Cat,26,22,26,32,0.00,0.00,0.00,1.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1303007550769205308
11/8/2024 4:14:00,WlGGLYBOl+0260,GDCytosine+9164,Myfirstdime+8673,lumpyprol+3206,Marquise de Cat,Vagabond (Thief),Riverfolk Company,Underground Duchy,Vagabond (Ranger),27,18,26,30,0.00,0.00,0.00,1.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/1304276341796900936
11/8/2024 7:01:00,Keirdre+1636,pooge+6189,MrRiceGuy+5849,Matoto+8242,Eyrie Dynasties,Lizard Cult,Riverfolk Company,Woodland Alliance,Vagabond (Ranger),33,28,25,21,1.00,0.00,0.00,0.00,Autumn,E&P,,Async,https://discordapp.com/channels/476234833572397056/1300740293586583585
11/8/2024 8:00:00,jayli+9450,WlGGLYBOl+0260,NadtyLite+7330,BrutusK+0177,Underground Duchy,Marquise de Cat,Vagabond (Adventurer),Eyrie Dynasties,Lizard Cult,30,Bunny Dom,12,2,1.00,0.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1301015649757298709
11/8/2024 12:54:00,Vsquirrel+9158,Aceosd+1686,TheWiseFox+8428,Myfirstdime+8673,Eyrie Dynasties,Riverfolk Company,Vagabond (Tinker),Marquise de Cat,Lizard Cult,33,26,25,17,1.00,0.00,0.00,0.00,Winter,E&P,,Async,https://discord.com/channels/476234833572397056/1302703122451402773
11/8/2024 13:31:00,WlGGLYBOl+0260,NadtyLite+7330,TheWiseFox+8428,CluelessRune+5235,Vagabond (Thief),Riverfolk Company,Underground Duchy,Marquise de Cat,,18,30,20,26,0.00,1.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1303409154488012871
11/8/2024 17:02:00,jayli+9450,SoulDataFMAB+1794,greenplastic90+3616,kurinzu+3999,Vagabond (Harrier),Marquise de Cat,Lizard Cult,Eyrie Dynasties,Underground Duchy,30,26,27,15,1.00,0.00,0.00,0.00,Mountain,E&P,Random,Async,https://discord.com/channels/476234833572397056/1293095874423164992
11/8/2024 18:17:00,Tad604+8004,HobGungan+2914,TheWiseFox+8428,NadtyLite+7330,Woodland Alliance,Lizard Cult,Underground Duchy,Eyrie Dynasties,Marquise de Cat,32,20,18,19,1.00,0.00,0.00,0.00,Autumn,E&P,Random,Async,https://discord.com/channels/476234833572397056/1304172153389973505/1304509254778093591
11/8/2024 18:45:00,TheWiseFox+8428,Pyrocrab+5064,TercMa+9283,jayli+9450,Marquise de Cat,Woodland Alliance,Underground Duchy,Vagabond (Thief),Riverfolk Company,18,23,30,23,0.00,0.00,1.00,0.00,Lake,E&P,,Async,https://discord.com/channels/476234833572397056/539979741420322836/1304516136477397122
